title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes
Mobile Suit Gundam Unicorn,TV Show,2010,TV-14,35,Action,['JP'],2.0,tt1630623,7.8,1291.0
Mobile Suit Gundam Unicorn,TV Show,2010,TV-14,35,Drama,['JP'],2.0,tt1630623,7.8,1291.0
Mobile Suit Gundam Unicorn,TV Show,2010,TV-14,35,Scifi,['JP'],2.0,tt1630623,7.8,1291.0
Mobile Suit Gundam Unicorn,TV Show,2010,TV-14,35,War,['JP'],2.0,tt1630623,7.8,1291.0
Mobile Suit Gundam Unicorn,TV Show,2010,TV-14,35,Animation,['JP'],2.0,tt1630623,7.8,1291.0
Stuart Little 2,Movie,2002,G,78,Comedy,['US'],,tt0243585,5.5,53746.0
Stuart Little 2,Movie,2002,G,78,Fantasy,['US'],,tt0243585,5.5,53746.0
Stuart Little 2,Movie,2002,G,78,Animation,['US'],,tt0243585,5.5,53746.0
Stuart Little 2,Movie,2002,G,78,Family,['US'],,tt0243585,5.5,53746.0
Johnny Test,TV Show,2005,TV-Y7,18,Comedy,"['CA', 'US']",6.0,tt15061770,5.1,8172.0
Johnny Test,TV Show,2005,TV-Y7,18,Drama,"['CA', 'US']",6.0,tt15061770,5.1,8172.0
Johnny Test,TV Show,2005,TV-Y7,18,Family,"['CA', 'US']",6.0,tt15061770,5.1,8172.0
Johnny Test,TV Show,2005,TV-Y7,18,Scifi,"['CA', 'US']",6.0,tt15061770,5.1,8172.0
Johnny Test,TV Show,2005,TV-Y7,18,Animation,"['CA', 'US']",6.0,tt15061770,5.1,8172.0
Johnny Test,TV Show,2005,TV-Y7,18,Action,"['CA', 'US']",6.0,tt15061770,5.1,8172.0
Code Lyoko,TV Show,2003,TV-G,24,Action,['FR'],5.0,tt0417311,7.3,5109.0
Code Lyoko,TV Show,2003,TV-G,24,Fantasy,['FR'],5.0,tt0417311,7.3,5109.0
Code Lyoko,TV Show,2003,TV-G,24,Thriller,['FR'],5.0,tt0417311,7.3,5109.0
Code Lyoko,TV Show,2003,TV-G,24,Comedy,['FR'],5.0,tt0417311,7.3,5109.0
Code Lyoko,TV Show,2003,TV-G,24,Family,['FR'],5.0,tt0417311,7.3,5109.0
Code Lyoko,TV Show,2003,TV-G,24,Scifi,['FR'],5.0,tt0417311,7.3,5109.0
Code Lyoko,TV Show,2003,TV-G,24,Romance,['FR'],5.0,tt0417311,7.3,5109.0
Code Lyoko,TV Show,2003,TV-G,24,Animation,['FR'],5.0,tt0417311,7.3,5109.0
Did You Hear About the Morgans?,Movie,2009,PG-13,103,Comedy,['US'],,tt1314228,4.9,40289.0
Did You Hear About the Morgans?,Movie,2009,PG-13,103,Romance,['US'],,tt1314228,4.9,40289.0
Did You Hear About the Morgans?,Movie,2009,PG-13,103,Drama,['US'],,tt1314228,4.9,40289.0
Iris,TV Show,2009,TV-14,61,Action,['KR'],2.0,tt1399791,7.8,1951.0
Iris,TV Show,2009,TV-14,61,Comedy,['KR'],2.0,tt1399791,7.8,1951.0
Iris,TV Show,2009,TV-14,61,Reality,['KR'],2.0,tt1399791,7.8,1951.0
Iris,TV Show,2009,TV-14,61,Romance,['KR'],2.0,tt1399791,7.8,1951.0
Iris,TV Show,2009,TV-14,61,Thriller,['KR'],2.0,tt1399791,7.8,1951.0
DreamWorks Shrek's Swamp Stories,TV Show,2010,TV-PG,24,Horror,['US'],1.0,tt6950338,6.5,330.0
DreamWorks Shrek's Swamp Stories,TV Show,2010,TV-PG,24,Music,['US'],1.0,tt6950338,6.5,330.0
DreamWorks Shrek's Swamp Stories,TV Show,2010,TV-PG,24,Animation,['US'],1.0,tt6950338,6.5,330.0
DreamWorks Shrek's Swamp Stories,TV Show,2010,TV-PG,24,Comedy,['US'],1.0,tt6950338,6.5,330.0
DreamWorks Shrek's Swamp Stories,TV Show,2010,TV-PG,24,Family,['US'],1.0,tt6950338,6.5,330.0
DreamWorks Shrek's Swamp Stories,TV Show,2010,TV-PG,24,Fantasy,['US'],1.0,tt6950338,6.5,330.0
DreamWorks Shrek's Swamp Stories,TV Show,2010,TV-PG,24,Scifi,['US'],1.0,tt6950338,6.5,330.0
Ben & Holly's Little Kingdom,TV Show,2009,TV-G,14,Comedy,['GB'],3.0,tt1436544,7.5,1222.0
Ben & Holly's Little Kingdom,TV Show,2009,TV-G,14,Family,['GB'],3.0,tt1436544,7.5,1222.0
Ben & Holly's Little Kingdom,TV Show,2009,TV-G,14,Fantasy,['GB'],3.0,tt1436544,7.5,1222.0
Ben & Holly's Little Kingdom,TV Show,2009,TV-G,14,Animation,['GB'],3.0,tt1436544,7.5,1222.0
Ben & Holly's Little Kingdom,TV Show,2009,TV-G,14,European,['GB'],3.0,tt1436544,7.5,1222.0
The Garfield Show,TV Show,2009,TV-G,17,Animation,['US'],5.0,tt1470837,5.3,2499.0
The Garfield Show,TV Show,2009,TV-G,17,Comedy,['US'],5.0,tt1470837,5.3,2499.0
The Garfield Show,TV Show,2009,TV-G,17,Family,['US'],5.0,tt1470837,5.3,2499.0
The Garfield Show,TV Show,2009,TV-G,17,European,['US'],5.0,tt1470837,5.3,2499.0
Chaos,Movie,2005,R,106,Action,"['GB', 'US', 'CA']",,tt0402910,6.4,54633.0
Chaos,Movie,2005,R,106,Crime,"['GB', 'US', 'CA']",,tt0402910,6.4,54633.0
Chaos,Movie,2005,R,106,Drama,"['GB', 'US', 'CA']",,tt0402910,6.4,54633.0
Chaos,Movie,2005,R,106,Thriller,"['GB', 'US', 'CA']",,tt0402910,6.4,54633.0
Chaos,Movie,2005,R,106,European,"['GB', 'US', 'CA']",,tt0402910,6.4,54633.0
Wakfu,TV Show,2008,TV-Y7,22,Action,['FR'],3.0,tt1807824,8.1,1469.0
Wakfu,TV Show,2008,TV-Y7,22,Drama,['FR'],3.0,tt1807824,8.1,1469.0
Wakfu,TV Show,2008,TV-Y7,22,Scifi,['FR'],3.0,tt1807824,8.1,1469.0
Wakfu,TV Show,2008,TV-Y7,22,Fantasy,['FR'],3.0,tt1807824,8.1,1469.0
Wakfu,TV Show,2008,TV-Y7,22,Animation,['FR'],3.0,tt1807824,8.1,1469.0
Wakfu,TV Show,2008,TV-Y7,22,Family,['FR'],3.0,tt1807824,8.1,1469.0
